Year,Datetime,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
1934.0,27 May 1934 - 16:30 ,Preliminary round,Nazionale PNF,Italy,7.0,1.0,USA
1934.0,27 May 1934 - 16:30 ,Preliminary round,Littorio,Czechoslovakia,2.0,1.0,Romania
1934.0,31 May 1934 - 16:30 ,Quarter-finals,Stadio Benito Mussolini,Czechoslovakia,3.0,2.0,Switzerland
1934.0,31 May 1934 - 16:30 ,Quarter-finals,San Siro,Germany,2.0,1.0,Sweden
1934.0,31 May 1934 - 16:30 ,Quarter-finals,Giovanni Berta,Italy,1.0,1.0,Spain
1934.0,31 May 1934 - 16:30 ,Quarter-finals,Littorale,Austria,2.0,1.0,Hungary
1934.0,01 Jun 1934 - 16:30 ,Quarter-finals,Giovanni Berta,Italy,1.0,0.0,Spain
1934.0,03 Jun 1934 - 16:30 ,Semi-finals,San Siro,Italy,1.0,0.0,Austria
1934.0,03 Jun 1934 - 16:30 ,Semi-finals,Nazionale PNF,Czechoslovakia,3.0,1.0,Germany
1934.0,07 Jun 1934 - 18:00 ,Match for third place,Giorgio Ascarelli,Germany,3.0,2.0,Austria
1934.0,10 Jun 1934 - 17:30 ,Final,Nazionale PNF,Italy,2.0,1.0,Czechoslovakia
1938.0,04 Jun 1938 - 17:00 ,First round,Parc des Princes,Switzerland,1.0,1.0,Germany
1938.0,05 Jun 1938 - 17:00 ,First round,Velodrome Municipale,Hungary,6.0,0.0,Dutch East Indies
1938.0,05 Jun 1938 - 17:00 ,First round,Stade Olympique,France,3.0,1.0,Belgium
1938.0,05 Jun 1938 - 17:00 ,First round,Stade Municipal,Cuba,3.0,3.0,Romania
1938.0,05 Jun 1938 - 17:00 ,First round,Stade V�lodrome,Italy,2.0,1.0,Norway
1938.0,05 Jun 1938 - 17:30 ,First round,Stade de la Meinau,Brazil,6.0,5.0,Poland
1938.0,05 Jun 1938 - 18:30 ,First round,Cavee Verte,Czechoslovakia,3.0,0.0,Netherlands
1938.0,09 Jun 1938 - 18:00 ,First round,Stade Municipal,Cuba,2.0,1.0,Romania
1938.0,09 Jun 1938 - 18:00 ,First round,Parc des Princes,Switzerland,4.0,2.0,Germany
1938.0,12 Jun 1938 - 17:00 ,Quarter-finals,Stade du Parc Lescure,Brazil,1.0,1.0,Czechoslovakia
1938.0,12 Jun 1938 - 17:00 ,Quarter-finals,Victor Boucquey,Hungary,2.0,0.0,Switzerland
1938.0,12 Jun 1938 - 17:00 ,Quarter-finals,Fort Carree,Sweden,8.0,0.0,Cuba
1938.0,12 Jun 1938 - 17:00 ,Quarter-finals,Stade Olympique,Italy,3.0,1.0,France
1938.0,14 Jun 1938 - 18:00 ,Quarter-finals,Stade du Parc Lescure,Brazil,2.0,1.0,Czechoslovakia
1938.0,16 Jun 1938 - 18:00 ,Semi-finals,Parc des Princes,Hungary,5.0,1.0,Sweden
1938.0,16 Jun 1938 - 18:00 ,Semi-finals,Stade V�lodrome,Italy,2.0,1.0,Brazil
